# Datacard for <Channel (ggFpt500toInf) instance at 0x7fb7c4692ac0> generated on 2025-03-25 07:36:04.568064
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 11 # number of samples minus 1
kmax 141 # number of nuisance parameters
shapes * ggFpt500toInf testModel.root testModel:ggFpt500toInf_$PROCESS testModel:ggFpt500toInf_$PROCESS_$SYSTEMATIC
bin ggFpt500toInf
observation 162.000
bin                                                            ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf  ggFpt500toInf
process                                                              ggH_hww        qqH_hww         WH_hww         ZH_hww        ttH_hww          ttbar          wjets      singletop          zjets        diboson       ewkvjets           fake
process                                                                   -4             -3             -2             -1              0              1              2              3              4              5              6              7
rate                                                                   5.672          2.280          0.740          0.393          0.154         36.760        106.668          4.143          1.067         17.564          9.515          0.404
BR_hww lnN                                                     0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153  0.9848/1.0153              -              -              -              -              -              -              -
CMS_HWW_boosted_EW_unc lnN                                                 -  0.8001/1.2517  0.8095/1.2407  0.8115/1.2388  0.8362/1.2089              -              -              -              -              -              -              -
CMS_HWW_boosted_FakeRate_EWK_SF_statistical_uncertainty shape              -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_FakeRate_statistical_uncertainty shape                     -              -              -              -              -              -              -              -              -              -              -         1.0000
CMS_HWW_boosted_Fake_SF_uncertainty lnN                                    -              -              -              -              -              -              -              -              -              -              -         1.2500
CMS_HWW_boosted_TopPtReweight shape                                        -              -              -              -              -         1.0000              -              -              -              -              -              -
CMS_HWW_boosted_W_d1kappa_EW lnN                                           -              -              -              -              -              -              -              -         1.0083              -              -              -
CMS_HWW_boosted_Z_d2kappa_EW lnN                                           -              -              -              -              -              -              -              -         1.0105              -              -              -
CMS_HWW_boosted_Z_d3kappa_EW lnN                                           -              -              -              -              -              -              -              -         1.0086              -              -              -
CMS_HWW_boosted_btagSFbcCorrelated lnN                         0.9861/1.0488  0.9872/1.0362  0.9574/1.1188  0.9800/1.0717  0.9805/1.2979  1.0058/1.0883  0.9865/1.0448  1.0336/1.0996  0.8287/1.1680  0.9809/1.0287  0.9989/1.0377              -
CMS_HWW_boosted_btagSFbc_2016 lnN                                     1.0053  0.9965/1.0080  0.9917/1.0206  0.9977/1.0101  0.9999/1.0263  0.9936/1.0175         1.0040         1.0091         1.0004              -  0.9806/1.0286              -
CMS_HWW_boosted_btagSFbc_2016APV lnN                           0.9939/1.0160  0.9963/1.0095  0.9801/1.0447  0.9948/1.0204  0.9860/1.0707  0.9904/1.0323  0.9966/1.0101  0.9988/1.1101  0.9967/1.0107  0.9956/1.0112  0.9806/1.0286              -
CMS_HWW_boosted_btagSFbc_2017 lnN                              0.9877/1.0181  0.9889/1.0126  0.9590/1.0469  0.9771/1.0319  0.9293/1.1635  0.9901/1.0394  0.9849/1.0220  0.9864/1.0108  0.8307/1.1995  0.9755/1.0273  0.9831/1.0164              -
CMS_HWW_boosted_btagSFbc_2018 lnN                              0.9919/1.0276  0.9887/1.0275  0.9729/1.0729  0.9877/1.0415  1.0089/1.1290  1.0024/1.0412  0.9932/1.0254         1.0171         0.9832              -  1.0072/1.0207              -
